Oid,SheetName,ClassName,Name,Value,Units,
2442,Column,TraySection,ColumnSections(1).Trays(7).VaporToTrayDensity,0.982028732,kg/m^3,
2442,Column,TraySection,ColumnSections(1).Trays(7).VaporToTrayDynamicViscosity,1.35E-05,(N/m^2).s,
2442,Column,TraySection,ColumnSections(1).Trays(7).VaporToTrayMassFlow,0.770291295,kg/s,
2442,Column,TraySection,ColumnSections(1).Trays(7).VaporToTrayMolecularWeight,18.5388693,g/mol,
2442,Column,TraySection,ColumnSections(1).Trays(7).VaporToTrayPressure,169611.075,Pa,
2442,Column,TraySection,ColumnSections(1).Trays(7).VaporToTrayTemperature,390.08709,K,
2442,Column,TraySection,ColumnSections(1).Trays(8).LiquidFromTrayActualVolFlow,0.007517076,m^3/s,
2442,Column,TraySection,ColumnSections(1).Trays(8).LiquidFromTrayDensity,975.666626,kg/m^3,
2442,Column,TraySection,ColumnSections(1).Trays(8).LiquidFromTrayDynamicViscosity,0.000581826,(N/m^2).s,
2442,Column,TraySection,ColumnSections(1).Trays(8).LiquidFromTrayMassFlow,7.334160017,kg/s,
2442,Column,TraySection,ColumnSections(1).Trays(8).LiquidFromTrayMolecularWeight,27.4969203,g/mol,
2442,Column,TraySection,ColumnSections(1).Trays(8).LiquidFromTrayPressure,170300.551,Pa,
2442,Column,TraySection,ColumnSections(1).Trays(8).LiquidFromTraySurfacetension,0.038638466,N/m,
2442,Column,TraySection,ColumnSections(1).Trays(8).LiquidFromTrayTemperature,390.280955,K,
2442,Column,TraySection,ColumnSections(1).Trays(8).MaximumPressureDropPerTray,689.4759087,Pa,
2442,Column,TraySection,ColumnSections(1).Trays(8).TrayNumber,8,,
2442,Column,TraySection,ColumnSections(1).Trays(8).VaporToTrayActualVolFlow,0.785592803,m^3/s,
2442,Column,TraySection,ColumnSections(1).Trays(8).VaporToTrayDensity,0.98098432,kg/m^3,
2442,Column,TraySection,ColumnSections(1).Trays(8).VaporToTrayDynamicViscosity,1.34E-05,(N/m^2).s,
2442,Column,TraySection,ColumnSections(1).Trays(8).VaporToTrayMassFlow,0.770654222,kg/s,
2442,Column,TraySection,ColumnSections(1).Trays(8).VaporToTrayMolecularWeight,18.45310676,g/mol,
2442,Column,TraySection,ColumnSections(1).Trays(8).VaporToTrayPressure,170300.551,Pa,
2442,Column,TraySection,ColumnSections(1).Trays(8).VaporToTrayTemperature,390.306533,K,
2442,Column,TraySection,ColumnSections(1).Trays(9).LiquidFromTrayActualVolFlow,0.007521457,m^3/s,
2442,Column,TraySection,ColumnSections(1).Trays(9).LiquidFromTrayDensity,975.1841892,kg/m^3,
2442,Column,TraySection,ColumnSections(1).Trays(9).LiquidFromTrayDynamicViscosity,0.000577224,(N/m^2).s,
2442,Column,TraySection,ColumnSections(1).Trays(9).LiquidFromTrayMassFlow,7.334805728,kg/s,
2442,Column,TraySection,ColumnSections(1).Trays(9).LiquidFromTrayMolecularWeight,27.48398478,g/mol,
2442,Column,TraySection,ColumnSections(1).Trays(9).LiquidFromTrayPressure,170990.026,Pa,
2442,Column,TraySection,ColumnSections(1).Trays(9).LiquidFromTraySurfacetension,0.038580438,N/m,
