Oid,SheetName,ClassName,Name,Value,Units
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid2EnthalphyFlow,,W
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid2HeatCapacityRatio,,
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid2MassDensity,,kg/m^3
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid2MassEnthalpy,,J/kg
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid2MassEntropy,,J/(kg.K)
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid2MassFlow,,kg/s
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid2MassHeatCapacity,,J/(kmol.K)
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid2MassHeatCapacityConstVol,,J/(kmol.K)
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid2MolarDensity,,kmol/m^3
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid2MolarEnthalpy,,J/kmol
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid2MolarEntropy,,J/(kmol.K)
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid2MolarFlow,,kmol/s
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid2MolarFraction,,fraction
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid2MolarHeatCapacity,,J/(kmol.K)
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid2MolarHeatCapacityConstVol,,J/(kmol.K)
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid2MolecularWeight,,g/mol
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid2Pressure,,Pa
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid2SpecificGravityMole,,
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid2StandardVolumetricFlow,,m^3/s
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid2StdMassDensity,,kg/m^3
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid2SurfaceTension,,N/m
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid2Temperature,,K
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid2ThermalConductivity,,W/(m.K)
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid2Viscosity,,(N/m^2).s
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid2ViscosityKinematic,,m^2/s
613,AirCooled,AirCooledExchanger,Ports.Inlet.Liquid2VolumetricFlow,,m^3/s
613,AirCooled,AirCooledExchanger,Ports.Inlet.LiquidBubblePointPressure,,
613,AirCooled,AirCooledExchanger,Ports.Inlet.LiquidBubblePointTemperature,,
613,AirCooled,AirCooledExchanger,Ports.Inlet.LiquidCompressibility,,unitless
613,AirCooled,AirCooledExchanger,Ports.Inlet.LiquidCriticalPressure,,
613,AirCooled,AirCooledExchanger,Ports.Inlet.LiquidCriticalTemperature,,
613,AirCooled,AirCooledExchanger,Ports.Inlet.LiquidCriticalVolume,,
613,AirCooled,AirCooledExchanger,Ports.Inlet.LiquidDewPointPressure,,
613,AirCooled,AirCooledExchanger,Ports.Inlet.LiquidDewPointTemperature,,
613,AirCooled,AirCooledExchanger,Ports.Inlet.LiquidEnthalpyFlow,,W
613,AirCooled,AirCooledExchanger,Ports.Inlet.LiquidHeatCapacityRatio,,
